id,text,label
V000,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. ini itu,0
H000,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! !! gawat,1
V001,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. ini itu,0
H001,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! !! !!",1
V002,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. ini di",0
H002,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. gawat gawat,1
V003,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. ini ini,0
H003,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! awas !!",1
V004,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. itu itu,0
H004,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! awas gawat",1
V005,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. di dan,0
H005,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! viralkan awas",1
V006,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. itu di,0
H006,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! viralkan viralkan",1
V007,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. itu itu,0
H007,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. !! !!",1
V008,Presiden menghadiri KTT ASEAN di Jakarta hari ini. itu di,0
H008,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. viralkan !!,1
V009,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. itu dan,0
H009,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! !! gawat",1
V010,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. ini ini,0
H010,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! viralkan awas,1
V011,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. itu itu,0
H011,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! awas gawat",1
V012,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. di di",0
H012,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. gawat viralkan,1
V013,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. ini itu,0
H013,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! gawat awas",1
V014,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. itu dan,0
H014,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! gawat !!",1
V015,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. ini ini,0
H015,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! !! !!",1
V016,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. ini di,0
H016,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! awas !!",1
V017,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. itu di,0
H017,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. viralkan viralkan",1
V018,Presiden menghadiri KTT ASEAN di Jakarta hari ini. dan di,0
H018,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. !! viralkan,1
V019,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. itu itu,0
H019,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! gawat awas",1
V020,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. ini itu,0
H020,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! !! awas,1
V021,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. ini ini,0
H021,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! viralkan !!",1
V022,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. itu di",0
H022,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. awas awas,1
V023,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. di di,0
H023,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! viralkan viralkan",1
V024,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. di itu,0
H024,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! viralkan !!",1
V025,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. ini di,0
H025,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! viralkan awas",1
V026,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. di di,0
H026,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! viralkan awas",1
V027,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. di ini,0
H027,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. awas gawat",1
V028,Presiden menghadiri KTT ASEAN di Jakarta hari ini. itu di,0
H028,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. gawat awas,1
V029,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. dan di,0
H029,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! awas !!",1
V030,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. itu dan,0
H030,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! viralkan gawat,1
V031,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. dan itu,0
H031,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! viralkan !!",1
V032,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. itu itu",0
